,fare_amount_p_5,fare_amount_p_50,fare_amount_p_95,tip_amount_p_5,tip_amount_p_50,tip_amount_p_95,total_amount_p_5,total_amount_p_50,total_amount_p_95
VendorID_1,4.5,9.5,35.5,0.0,2.0,6.85,8.3,14.8,49.07
VendorID_2,4.5,9.5,40.0,0.0,2.0,7.58,8.3,15.3,53.16
VendorID_4,4.0,9.0,33.5,0.0,2.0,7.58,8.3,14.76,49.71099999999994
passenger_count_0,4.0,9.5,37.0,0.0,2.0,7.0,8.3,14.8,50.738499999999746
passenger_count_1,4.5,9.5,37.5,0.0,2.0,7.16,8.3,14.8,50.76
passenger_count_2,4.5,10.0,42.0,0.0,2.0,7.65,8.75,15.3,55.3
passenger_count_3,4.5,9.5,41.5,0.0,1.96,7.29,8.77,15.3,54.5
passenger_count_4,4.5,10.0,41.5,0.0,1.95,7.4369999999999346,8.8,15.3,55.42
passenger_count_5,4.5,9.5,37.5,0.0,2.0,7.58,8.3,15.3,51.5
passenger_count_6,4.5,9.5,38.5,0.0,2.0,7.88,8.3,15.3,52.88
passenger_count_7,74.1,74.1,74.1,10.0,10.0,10.0,87.4,87.4,87.4
passenger_count_8,88.88,88.88,88.88,22.42,22.42,22.42,112.1,112.1,112.1
passenger_count_9,9.8,9.8,9.8,0.0,0.0,0.0,10.6,10.6,10.6
payment_type_1,4.5,10.0,38.5,0.62,2.45,8.48,9.36,15.95,53.42
payment_type_2,4.0,9.0,37.0,0.0,0.0,0.0,7.3,12.3,42.42
payment_type_3,-4.5,6.0,47.0,0.0,0.0,0.0,-8.3,9.8,50.90799999999996
payment_type_4,-14.77,5.0,42.0,0.0,0.0,0.0,-18.75,8.8,46.35799999999992
trip_distance>2.8,12.5,21.5,52.0,0.0,3.76,12.25,17.74,28.55,73.67
trip_distance<=2.8,4.0,8.0,14.0,0.0,1.85,3.65,8.15,13.0,20.75
